case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity
NET-001,PC1 in VLAN 10 cannot ping PC2 in VLAN 20 across Switch 1 and Switch 2 trunk link.,PC1 (192.168.10.10/24) -> SW1 (Gi0/1) -> Trunk Gi0/24 -> SW2 (Gi0/24) -> PC2 (192.168.20.20/24). Inter-VLAN router on SW1.,"SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/24      on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/24      10,30-40

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Gi0/2-23
10   Sales                            active    Gi0/1
20   Engineering                      active    
30   Management                       active    ","Trunk port Gi0/24 on SW1 has allowed VLAN list set to '10,30-40', pruning VLAN 20 traffic from reaching SW2.",Layer 2,VLAN,High
NET-002,Native VLAN mismatch warning logged on console; untagged traffic crossing trunk between SW1 and SW2 leaks into wrong VLAN.,SW1 (Gi0/24) connected to SW2 (Gi0/24) via Dot1Q trunk link.,"SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/24      on           802.1q         trunking      10

SW2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/24      on           802.1q         trunking      1
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch detected on GigabitEthernet0/24 (10), with SW2 GigabitEthernet0/24 (1).",Native VLAN mismatch: SW1 Gi0/24 is configured with native VLAN 10 while SW2 Gi0/24 uses default native VLAN 1.,Layer 2,VLAN,High
NET-003,PC3 connected to SW1 port Gi0/5 has link light green but no network connectivity or gateway access.,PC3 (192.168.30.15/24) connected to SW1 port Gi0/5. Target VLAN is VLAN 30 (Finance).,"SW1# show mac address-table interface Gi0/5
          Mac Address Table
-------------------------------------------
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
30      0050.56aa.1122    DYNAMIC     Gi0/5

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Gi0/1-4, Gi0/6-24
10   Sales                            active    
20   Engineering                      active    
% VLAN 30 does not exist in switch database!","Access port Gi0/5 is assigned to VLAN 30, but VLAN 30 has not been created in the switch VLAN database (`vlan 30`).",Layer 2,VLAN,Medium
NET-004,Inter-VLAN routing fails for VLAN 20 hosts on Router-on-a-stick setup.,R1 (Gi0/0) -> SW1 (Gi0/24 trunk). R1 G0/0 has subinterfaces G0/0.10 and G0/0.20.,"R1# show ip interface brief
Interface          IP-Address      OK? Method Status                Protocol
Gi0/0              unassigned      YES unset  up                    up
Gi0/0.10           192.168.10.1    YES manual up                    up
Gi0/0.20           192.168.20.1    YES manual up                    up

R1# show running-config interface Gi0/0.20
building configuration...
interface GigabitEthernet0/0.20
 encapsulation dot1Q 30
 ip address 192.168.20.1 255.255.255.0",Router subinterface Gi0/0.20 has encapsulation dot1Q 30 misconfigured instead of dot1Q 20.,Layer 2,VLAN,High
NET-005,PC1 obtains IP address 192.168.1.50/24 but cannot reach external IP 8.8.8.8. Local LAN pings work.,PC1 (192.168.1.50/24) -> Switch 1 -> Router R1 (Gi0/0 IP 192.168.1.1).,"C:\> ipconfig /all
Ethernet adapter Local Area Connection:
   IPv4 Address. . . . . . . . . . . : 192.168.1.50
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 192.168.1.254

R1# show ip interface brief Gi0/0
Interface          IP-Address      OK? Method Status                Protocol
Gi0/0              192.168.1.1     YES manual up                    up",Host default gateway mismatch: PC1 is configured with gateway 192.168.1.254 instead of R1 IP 192.168.1.1.,Layer 3,Gateway,High
NET-006,Administrator cannot SSH to Switch SW1 management interface from remote subnet 10.2.2.0/24.,Management Host (10.2.2.50) -> R1 -> SW1 SVI Interface VLAN 1 (10.1.1.2/24).,"SW1# show ip interface brief
Interface          IP-Address      OK? Method Status                Protocol
Vlan1              10.1.1.2        YES manual administratively down down
Gi0/1              unassigned      YES unset  up                    up

SW1# show running-config | include default-gateway
ip default-gateway 10.1.1.1",Switch management SVI Interface Vlan1 is in 'administratively down' state (needs `no shutdown`).,Layer 3,Gateway,Medium
NET-007,"Switch SW2 management IP 172.16.10.2 is reachable locally on VLAN 10, but unreachable from admin workstation on VLAN 20.",Admin Workstation (172.16.20.5) -> R1 Router -> SW2 (VLAN 10 SVI 172.16.10.2/24).,"SW2# show ip interface brief Vlan10
Interface          IP-Address      OK? Method Status                Protocol
Vlan10             172.16.10.2     YES manual up                    up

SW2# show running-config | include default-gateway
% No default-gateway configured.","Switch SW2 lacks global configuration `ip default-gateway 172.16.10.1`, preventing return traffic across subnets.",Layer 3,Gateway,Medium
NET-008,PC2 network icon shows 'No Internet Access'; static IP setting error suspected.,"PC2 in Subnet 192.168.20.0/24, Gateway R1 Gi0/0.20 IP is 192.168.20.1.","C:\> ipconfig
Ethernet adapter Local Area Connection:
   IPv4 Address. . . . . . . . . . . : 192.168.20.45
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 192.168.10.1",Default gateway IP 192.168.10.1 is on a completely different subnet than the host IP 192.168.20.45/24.,Layer 3,Gateway,High
NET-009,Clients on VLAN 10 receive APIPA IP addresses (169.254.x.x) and cannot reach network resources.,Clients (VLAN 10) -> SW1 -> R1 (Router/DHCP Relay G0/0.10) -> Central DHCP Server (10.1.1.100).,"C:\> ipconfig
IPv4 Address. . . . . . . . . . . : 169.254.42.108
Subnet Mask . . . . . . . . . . . : 255.255.0.0

R1# show running-config interface Gi0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
 % Missing ip helper-address statement!",DHCP Relay configuration missing on router subinterface Gi0/0.10 (`ip helper-address 10.1.1.100` missing).,Layer 7,DHCP,Critical
NET-010,"DHCP clients receive IP lease successfully, but cannot reach default gateway or remote networks.",R1 acts as DHCP Server for LAN 192.168.1.0/24. Router LAN interface is 192.168.1.1.,"R1# show ip dhcp pool LAN_POOL
Pool LAN_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (Current/Total)    : 1 / 254
 Lease total / active / excluded: 5 / 5 / 0
 Default router                 : 192.168.1.250
 Domain Name                    : lab.cisco.com

R1# show ip interface brief Gi0/0
Gi0/0              192.168.1.1     YES manual up                    up",DHCP pool option `default-router` specifies 192.168.1.250 instead of router LAN interface IP 192.168.1.1.,Layer 7,DHCP,High
